time,pressure
1, 899.7635973374138
2, 899.5612413166718
3, 900.3655181283713
4, 904.264801258349
5, 905.1833910618417
6, 904.1028593704474
7, 905.896255763772
8, 907.3702870300108
9, 910.0578786039567
10, 910.8665182554912
11, 910.1081060647367
12, 913.9030619674751
13, 911.8118492695933
14, 914.7209202892183
15, 914.1987649945037
16, 917.44191259629
17, 916.8152423754394
18, 918.0592015053844
19, 921.425668208372
20, 919.7842668107145
21, 923.9152744329313
22, 921.3798301845569
23, 925.2832156833911
24, 923.2832156833911
25, 923.0639059141894
26, 924.9586328352152
27, 923.5200439202571
28, 924.414805831047
29, 923.0814724977137
30, 925.1867105869237
31, 926.4325298019066
32, 924.8888775985628
33, 926.222210931896
34, 924.2311842881177
35, 926.3363087968642
36, 927.0209876319718
37, 928.1351160396217
38, 925.9341369603932
39, 927.5142317691907
40, 927.7519324697005
41, 930.5421713061023
42, 931.4467342986555
43, 931.5799715404896
44, 930.3704882846922
45, 930.1514616460137
46, 932.7134213746787
47, 931.2850632027887
48, 932.7522103238466
49, 933.9809579768072
50, 932.4483776566282
51, 933.6772031337796
52, 936.1448950242253
53, 934.4983230676809
54, 936.9461317268024
55, 935.4142463644301
56, 936.309936940618
57, 938.6637786621761
58, 939.3407576136755
59, 938.4449895666451
60, 936.8928714395714
61, 938.5698761962999
62, 937.7886480883448
63, 939.5802529804203
64, 939.1427478805869
65, 939.4970023388049
66, 938.9344558980118
67, 937.3719266325284
68, 937.2677892313452
69, 938.3719266325284
70, 939.3823936384675
71, 939.9449486650784
72, 937.4970023388049
73, 940.2888133933938
74, 938.1847446640612
75, 939.8514113307278
76, 940.1019745882996
77, 943.0087158752915
78, 942.4460065132849
79, 939.9979915886082
80, 940.7793398466182
81, 941.8833142800759
82, 940.6539725138913
83, 939.5393080574624
84, 939.4460065132849
85, 942.0302800185005
86, 943.3636133518339
87, 942.8008526327916
88, 942.5714423612023
89, 941.1558527793792
90, 944.1776734876605
91, 944.1886415111817
92, 942.1996479589598
93, 943.3144364218698
94, 943.1996479589598
95, 943.6477697552031
96, 942.7736329365854
97, 943.7847417684181
98, 944.1292222973766
99, 947.0367750537431
100, 947.829560568849
101, 947.4039715361752
102, 946.541658801991
103, 949.1048457857532
104, 947.5646040431031
105, 949.3693443771864
106, 950.9559686752312
107, 950.6226353418979
108, 950.5310798587582
109, 950.9912449880987
110, 950.221352933549
111, 951.221352933549
112, 950.3364132493389
113, 950.3482862283308
114, 952.6816195616642
115, 951.1181444596938
116, 950.3482862283308
117, 952.2451115679261
118, 952.2690222971207
119, 955.1900285231218
120, 952.9961303394709
121, 953.2142936293444
122, 953.905377059264
123, 954.905377059264
124, 955.469105214782
125, 955.3784992300574
126, 954.2756196073398
127, 954.7118325633908
128, 955.9422862740064
129, 955.1851607693055
130, 955.7614736116533
131, 958.2100821084259
132, 957.7739783587529
133, 956.1198542004305
134, 959.5810807007384
135, 959.6063795158424
136, 957.2730461825091
137, 959.7090409308793
138, 957.0423742642126
139, 959.9524188003453
140, 959.0550550903419
141, 960.2984957587697
142, 961.5292346529279
143, 959.2215517070797
144, 962.7985975225597
145, 960.0294450870753
146, 961.5936426852711
147, 963.1839333179935
148, 963.4411574355468
149, 964.4543518721279
150, 962.4543518721279
151, 963.2233291954642
152, 965.2365361209978
153, 966.4941598850544
154, 963.7386431910612
155, 964.7520496931646
156, 966.4321602308706
157, 966.2414522731003
158, 968.7176141391616
159, 967.3979361261772
160, 967.1802739582663
161, 969.7449620401165
162, 966.7449620401165
163, 968.7449620401165
164, 967.6430000081737
165, 968.5548339821364
166, 967.4391255836058
167, 970.5410545242787
168, 967.2077211909454
